,Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
0,1,1,8,0,20.64,0.0,28.51,12.4,0.96,1.82
1,1,2,8,0,20.54,0.0,28.47,7.5,0.36,1.45
2,1,3,8,0,20.59,0.0,27.49,14.6,0.0,1.95
3,1,4,8,0,20.54,0.0,26.53,10.0,0.0,1.66
4,1,5,8,0,20.51,0.0,25.67,9.1,0.12,1.49
5,1,6,8,0,20.5,0.0,25.01,9.5,1.2,1.63
6,1,7,8,0,20.57,0.0,24.59,15.5,1.92,1.88
7,1,8,8,0,20.54,0.0,24.32,12.8,10.32,1.77
8,1,9,8,0,20.55,0.0,23.8,13.3,12.96,1.87
9,1,10,8,0,20.62,0.0,23.01,15.7,12.72,2.16
10,1,11,8,0,20.56,0.0,22.47,7.6,11.4,1.86
11,1,12,8,0,20.74,0.0,21.51,19.0,8.04,2.79
12,1,13,8,0,20.71,0.0,20.98,13.1,4.8,2.41
13,1,14,8,0,20.72,0.0,20.54,13.9,2.04,2.39
14,1,15,8,0,20.73,0.0,20.07,15.1,1.08,2.54
15,1,16,8,0,20.73,0.0,19.93,14.6,1.2,2.26
16,1,17,8,0,20.69,0.0,20.37,13.2,1.56,2.03
17,1,18,8,0,20.68,0.0,21.81,12.7,1.44,2.11
18,1,19,8,0,20.7,0.0,24.38,14.0,2.4,2.16
19,1,20,8,0,20.82,0.0,26.07,21.0,3.6,3.3
20,1,21,8,0,20.83,0.0,27.57,21.3,2.88,3.24
21,1,22,8,0,20.76,0.0,28.38,16.8,1.92,2.3
22,1,23,8,0,20.81,0.0,28.51,21.6,9.12,3.16
23,1,24,8,0,20.73,0.0,28.53,15.9,2.76,2.01
24,1,1,2,0,20.63,0.0,28.41,11.3,0.84,1.74
25,1,2,2,0,20.55,0.0,27.87,11.6,0.84,1.57
26,1,3,2,0,20.52,0.0,26.85,12.0,0.0,1.48
27,1,4,2,0,20.5,0.0,25.99,7.6,0.0,1.14
28,1,5,2,0,20.5,0.0,24.89,12.8,0.0,1.31
29,1,6,2,0,20.49,0.0,23.66,12.9,0.48,1.37
30,1,7,2,0,20.5,0.0,22.14,15.1,4.68,1.36
31,1,8,2,0,20.5,0.0,20.95,15.3,21.0,1.44
32,1,9,2,0,20.51,0.0,19.72,17.1,5.64,1.55
